game_title,game_size_gb,game_price_pln
"Dead Outside, The",238.9,157.12
Desert Hearts,170.4,104.68
Pandora's Box (Pandora'nin kutusu),159.1,347.25
Waiting For Armageddon,154.4,209.8
"End, The",240.3,218.11
All the President's Men,223.5,19.01
My Life,61.2,60.85
"Rookie, The",201.3,102.56
Rest Stop,124.3,366.03
Juarez,214.9,116.18
How to Beat the High Cost of Living,224.4,88.36
Results,242.4,77.99
Mom's Night Out,231.5,130.0
G.I. Joe: A Real American Hero (G.I. Joe: The MASS Device),97.0,258.88
Shoot to Kill,133.8,292.72
Saint (Sint),69.8,205.37
"Handful of Dust, A",66.0,391.98
Miss Julie,226.5,40.25
"3 Penny Opera, The (Threepenny Opera, The) (3 Groschen-Oper, Die)",200.0,379.63
"Shine of Rainbows, A",94.0,325.52
Coco Chanel,157.4,367.68
Secret Ceremony,242.9,110.08
Doing Time on Maple Drive,76.3,365.98
Memorial Day,202.6,27.07
"Milwaukee, Minnesota",236.0,390.11
Norbit,32.8,350.36
Confessions (Kokuhaku),172.1,166.34
Flatliners,160.7,139.37
Final Destination 3,190.8,351.97
"Subject Was Roses, The",147.9,178.84
Mr. North,228.0,323.06
Beyond the Law (Lain ulkopuolella),221.6,241.31
Office Space,191.0,151.41
Sunshine,61.5,245.19
Apnea (Apnoia),189.8,384.48
The Four Feathers,104.2,354.41
Conquest,51.0,128.97
Invitation to a Gunfighter,239.1,207.25
Revenge of the Green Dragons,122.4,175.11
Romancing the Stone,52.5,86.81
"Magic of Méliès, The (magie Méliès, La)",162.8,307.9
"Chalk Garden, The",55.1,173.82
Encounter in the Third Dimension,45.7,292.83
Nanny McPhee,67.4,59.4
Den enskilde medborgaren,64.1,62.57
Attack of the Mushroom People (Matango),50.8,137.58
Erik the Viking,79.4,89.71
Vizontele,212.4,14.81
End of the World,114.4,50.27
"Barber, The",154.0,199.71
Underclassman,198.5,232.58
American Pie 2,182.9,311.05
"Invasion, The",15.9,96.15
American Grindhouse,103.5,87.35
