index,game_title,game_size_gb,game_price_pln
1,Night Across the Street (La noche de enfrente),45.6,399.62
2,"Flesh Merchant, The (Wild and Wicked, The)",233.5,394.9
3,"Secret Life of Bees, The",73.5,383.49
4,"Lost Honor of Katharina Blum, The (Verlorene Ehre der Katharina Blum oder: Wie Gewalt entstehen und wohin sie führen kann, Die)",104.7,147.07
5,Futurama: Into the Wild Green Yonder,177.7,24.41
6,It's a Disaster,95.2,44.06
7,Winter War (Talvisota),139.9,386.47
8,Love Hina Again,112.9,342.17
9,Paranormal Activity 4,109.0,157.73
10,Just Go with It,181.0,35.84
11,Highway ,202.1,300.62
12,Iraq in Fragments,181.7,77.51
13,"Year Ago in Winter, A (Im Winter ein Jahr)",51.7,254.49
14,Rage at Dawn,228.0,119.43
15,"Sport, Sport, Sport",68.8,383.68
16,Kauwboy,21.0,46.39
17,Viva Max!,38.5,213.84
18,I'm No Angel,232.1,236.06
19,"Street with No Name, The",168.7,364.82
20,Serial,244.0,82.42
21,Charley Varrick,145.9,22.72
22,A Blank on the Map,120.9,182.68
23,F/X,137.2,289.02
24,Wieners,93.6,186.87
25,"Dirty Carnival, A (Biyeolhan geori)",238.1,105.41
26,Samurai Assassin (Samurai),238.8,67.73
27,Challenge to Lassie,166.3,195.91
28,Nuts,46.6,222.27
29,Born to Defense (Zhong hua ying xiong),29.5,154.86
30,"Hot Dog Program, A",186.3,362.04
31,The Fifth Season,247.2,251.28
32,Out of the Fog,55.7,334.47
33,"Last of England, The",27.4,370.1
34,Vice,196.3,336.33
35,Transit,113.1,378.32
36,"Pink Panther Strikes Again, The",215.1,194.79
37,Vampire Hunter D,30.1,209.93
38,"Left Hand of God, The",122.2,300.81
39,Changing Lanes,187.7,365.12
40,Japanese Girls at the Harbor (Minato no nihon musume),30.2,193.12
41,Lucky You,198.3,370.05
42,Cocktail,13.4,37.77
43,Something Like Happiness (Stestí),40.5,25.08
44,Kung Fu Hustle (Gong fu),113.1,27.75
45,"Rescuers Down Under, The",192.4,98.06
46,It's a Boy Girl Thing,224.0,99.76
47,"Grudge 2, The",99.0,389.32
48,Festival Express,23.1,260.58
49,Joyful Noise,128.5,151.87
